Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integration/0/3.1/integration/0/3.1,563,563,21015.493500002776,21042.604870160074,21015.493500002776,21069.915500003844,0.0,3.150213036075591,3.150213036075591,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
,Aggregated,563,563,21015.493500002776,21042.604870160074,21015.493500002776,21069.915500003844,0.0,3.150213036075591,3.150213036075591,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
