Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integration/0/3.1,400,0,28000.0,26739.23209224997,329.9719999995432,48667.62070000004,180.0,2.2389644601470446,0.0,28000,37000,41000,43000,45000,46000,47000,47000,49000,49000,49000
,Aggregated,400,0,28000.0,26739.23209224997,329.9719999995432,48667.62070000004,180.0,2.2389644601470446,0.0,28000,37000,41000,43000,45000,46000,47000,47000,49000,49000,49000
