Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//integration/0/3.1,126292,126292,98,100.773445604536,82.10967000013625,485.94462300025043,0.0,703.4393021867573,703.4393021867573,98,100,110,110,120,120,130,140,300,400,490
,Aggregated,126292,126292,98,100.773445604536,82.10967000013625,485.94462300025043,0.0,703.4393021867573,703.4393021867573,98,100,110,110,120,120,130,140,300,400,490
