Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/integral/0/3.1,76729,76729,100.0,168.68726391609178,83.03896399957011,1141.0290490002808,207.0,428.14072721248306,428.14072721248306,100,190,250,270,320,380,430,470,890,1100,1100
,Aggregated,76729,76729,100.0,168.68726391609178,83.03896399957011,1141.0290490002808,207.0,428.14072721248306,428.14072721248306,100,190,250,270,320,380,430,470,890,1100,1100
